city,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,rain_sum,wind_speed_10m_max,rain_tomorrow,weather_condition,year,month,day,season,temp_range,weather_cluster,weather_pattern
Delhi,01-01-2000,19.9,7.4,19.2,5.8,0.0,10.9,0,Clear,2000,1,1,Winter,12.5,0,Cold Winter
Delhi,02-01-2000,20.0,5.5,18.9,3.4,0.0,9.5,0,Overcast,2000,1,2,Winter,14.5,0,Cold Winter
Delhi,03-01-2000,20.1,6.3,18.2,4.3,0.0,10.0,0,Clear,2000,1,3,Winter,13.8,0,Cold Winter
Delhi,04-01-2000,19.8,6.4,18.5,4.2,0.0,8.6,0,Clear,2000,1,4,Winter,13.4,0,Cold Winter
Delhi,05-01-2000,19.4,5.3,17.7,3.2,0.0,9.4,0,Clear,2000,1,5,Winter,14.1,0,Cold Winter
Delhi,06-01-2000,19.2,6.0,16.2,3.6,0.0,15.3,0,Clear,2000,1,6,Winter,13.2,0,Cold Winter
Delhi,07-01-2000,19.1,5.6,17.3,3.5,0.0,10.0,0,Overcast,2000,1,7,Winter,13.5,0,Cold Winter
Delhi,08-01-2000,20.3,6.3,20.0,4.6,0.0,9.0,0,Overcast,2000,1,8,Winter,14.0,0,Cold Winter
Delhi,09-01-2000,22.0,9.9,21.1,8.5,0.0,13.3,0,Overcast,2000,1,9,Winter,12.1,0,Cold Winter
Delhi,10-01-2000,19.1,11.4,19.2,10.9,0.0,11.7,0,Overcast,2000,1,10,Winter,7.7,0,Cold Winter
Delhi,11-01-2000,23.0,11.1,21.7,10.3,0.0,11.9,0,Overcast,2000,1,11,Winter,11.9,0,Cold Winter
Delhi,12-01-2000,22.8,13.0,21.0,11.2,15.4,24.5,1,Moderate Rain,2000,1,12,Winter,9.8,0,Cold Winter
Delhi,13-01-2000,18.9,10.5,18.5,9.2,2.7,11.8,1,Moderate Drizzle,2000,1,13,Winter,8.4,0,Cold Winter
Delhi,14-01-2000,18.1,7.9,16.7,4.5,0.0,10.0,0,Overcast,2000,1,14,Winter,10.2,0,Cold Winter
Delhi,15-01-2000,15.8,3.6,13.0,0.6,0.0,10.4,0,Clear,2000,1,15,Winter,12.2,0,Cold Winter
Delhi,16-01-2000,15.8,4.2,11.8,1.3,0.0,17.9,0,Clear,2000,1,16,Winter,11.6,0,Cold Winter
Delhi,17-01-2000,17.4,5.3,14.0,1.7,0.0,16.3,0,Partly Cloudy,2000,1,17,Winter,12.1,0,Cold Winter
Delhi,18-01-2000,20.4,7.0,16.2,3.3,0.0,19.3,0,Overcast,2000,1,18,Winter,13.4,0,Cold Winter
Delhi,19-01-2000,21.3,8.9,17.5,4.8,0.0,19.5,0,Mainly Clear,2000,1,19,Winter,12.4,0,Cold Winter
Delhi,20-01-2000,21.2,9.7,17.5,6.1,0.0,20.9,0,Overcast,2000,1,20,Winter,11.5,0,Cold Winter
Delhi,21-01-2000,21.7,8.2,19.7,6.2,0.7,12.2,1,Light Drizzle,2000,1,21,Winter,13.5,0,Cold Winter
Delhi,22-01-2000,20.0,10.3,18.2,8.8,0.2,11.5,1,Light Drizzle,2000,1,22,Winter,9.7,0,Cold Winter
Delhi,23-01-2000,21.2,8.2,20.7,6.9,0.0,9.9,0,Clear,2000,1,23,Winter,13.0,0,Cold Winter
Delhi,24-01-2000,22.1,8.3,20.7,6.7,0.0,8.8,0,Clear,2000,1,24,Winter,13.8,0,Cold Winter
Delhi,25-01-2000,20.1,9.8,19.4,8.1,11.4,14.1,1,Slight Rain,2000,1,25,Winter,10.3,0,Cold Winter
Delhi,26-01-2000,20.3,12.7,19.5,11.3,7.5,15.5,1,Slight Rain,2000,1,26,Winter,7.6,0,Cold Winter
Delhi,27-01-2000,18.7,10.4,16.8,8.4,3.8,14.8,1,Dense Drizzle,2000,1,27,Winter,8.3,0,Cold Winter
Delhi,28-01-2000,19.5,8.7,16.5,5.9,0.0,21.1,0,Clear,2000,1,28,Winter,10.8,0,Cold Winter
Delhi,29-01-2000,20.4,8.7,16.4,4.5,0.0,21.3,0,Clear,2000,1,29,Winter,11.7,0,Cold Winter
Delhi,30-01-2000,22.2,8.3,21.3,5.9,0.0,11.3,0,Partly Cloudy,2000,1,30,Winter,13.9,0,Cold Winter
Delhi,31-01-2000,22.1,10.4,19.4,8.0,0.0,25.4,0,Clear,2000,1,31,Winter,11.7,0,Cold Winter
Delhi,01-02-2000,20.7,11.9,20.7,9.5,0.0,22.2,0,Partly Cloudy,2000,2,1,Winter,8.8,0,Cold Winter
Delhi,02-02-2000,20.1,10.3,19.1,9.2,0.0,14.4,0,Overcast,2000,2,2,Winter,9.8,0,Cold Winter
